date,comment,recommend_count,unrecommend_count,reply_count
2024.06.29. 10:15,발볼이 넓은사람은 나이키가 불편해서 안신게됨,1095,34,36
2024.06.29. 09:59,난 나이키만 신는데? 신발은 나이키,968,381,47
2024.06.29. 10:02,디자인으로 신는거지 발이 편하진않음,321,37,15
2024.06.29. 10:12,발이 더 편하거나 디자인이 좋거나 하는 신발들이 많아졌지 사실 경쟁력이 없잖아,204,12,4
2024.06.29. 11:24,뉴발란스가 확실히 편해요. 이번에 아디다스 삼바도 사봤는데 나이키보다는 편하더라고요. 나이키는 발볼이 너무 좁아요 ㅠㅠ,88,6,3
2024.06.29. 11:52,발볼이 너무좁다,70,0,1
2024.06.29. 12:22,허구한날 한정판이라고 콜라보네뭐네 출시소식만 주구장창 뿌리고 막상 매장가면 그림자구경도 못하는 신발들로 기만하더니 꼴좋타 ㅋㅋㅋ,64,1,0
2024.06.29. 15:18,잘나가던 시절에 충성 고객들이 나이가 들어버렸어...그러다 보니 브랜드도 같이 늙어버림,41,1,1
2024.06.29. 10:54,스케쳐스 한번 신어보세요. 착용감 최고고 디자인도 정말 굿이예요. 2개 있어요.,51,13,5
2024.06.29. 18:58,"솔직히 나이키가 편하다고요..????진심 레알이세요??ㅋㅋ그똑같은 가격대로 아디다스,뉴발신는게 훨 더 편하지 아니 무슨 운동화를 칼발같이 만들어놨어…발볼에 맞춰서 심을려면 한치수 크게 사야하는데 그렇게 사면 뒷꿈치가 남음…그래서 끈을 당겨서 묶게됨 그러면 또 발볼이 불편해짐",36,5,0
2024.06.29. 11:45,제목다는 꼬라지보소... ㅉㅉㅉ “요새 누가 국민일보 봐요” ㅋㅋㅋㅋ 기분좋지? ㅎ,34,6,0
2024.06.29. 09:58,나이키 많이 신던데,28,3,0
2024.06.29. 12:01,아시아인과 아시아환경적측면을 많이 고려하지않는 브랜드같음.옷은 절대적으로크고 길고 신발은 좁고 길고 . 그걸또 힙하다고 입는 애들ㅋㅋ,25,5,0
2024.06.29. 13:03,나이키는 가격대비 품질이 엉망...나이키보다 싸고 품질좋은 물건이 수두룩한데 모델에 거액을 지불하고 품질경쟁을 하려니 가성비가 떨어질수밖에 없지.,20,0,0
2024.06.29. 13:52,PC하다가 망하겠네,19,2,1
2024.06.29. 10:56,솔직히 메이커 값임. 이넘들 인체공학적 편안함 같은건 신경도 안쓰는거 같은데. 그저께 나이키 슬리퍼 샀는데 역시나 그지같은 착용감ㅜㅜ,19,3,0
2024.06.29. 16:26,동양인은 발볼 넓어서 나이키랑은 잘 안맞는듯,17,2,0
2024.06.29. 10:54,유행은 결국 돌고 돈다. 저가 매수 적기임!!,15,4,2
2024.06.29. 13:40,아식스가 대세인듯,15,6,0
2024.06.29. 12:47,옷이나 신발제질도 예전보다 질도많이떠러졌고 가격은 더올랐으니 구입하는 사람들이 저조할수밖에 디자인자체도 많이 못미치는것같음!!,11,2,0
2024.06.29. 15:18,흑인 뚱녀 모델 파급력이 큼 pc 폐미묻으면 외국에서도 죄다 나락가고있는데 꾸역꾸역 정신병 사상 강요하는 애들때문에 멀쩡한 기업들도 줄줄이 나락가는중,11,3,0
2024.06.29. 17:55,90년대 나이키 발이 편하고 좋은신발이었는데. 요즘 그렇지도 않음....볼좁고 무겁고 가격대비 퀄이 안나옴.,8,0,0
2024.06.29. 11:18,브랜드는 프로스펙스지,9,2,2
2024.06.29. 16:08,이제 러닝용은 호카나 아식스가 좋은걸 신어보면 다 아니까. 발볼이 넓고 발등이 높은 동양인에겐 호카 신어보면 꿀맛임. 아식스도 그렇고. 나이키는 오히려 너무 제품이 다양화되면서 전문성이 부족하고 발볼이 좁아 불편,6,0,0
2024.06.29. 16:06,"비전이 안보여서 하락세는 맞는데, 오리지날로 연명하는 아디다스보다는 백배 낫다… 포지션을 대체할 브랜드도 딱히 없음",6,0,0
2024.06.29. 15:08,나이키신발은 볼이너무좁아서 아파요.,6,0,0
2024.06.29. 16:16,운동화 편한걸로 치면 아식스가 제일 편하더라,11,6,0
2024.06.29. 15:22,페미 뭍으면 안사게되더라... 대체 브랜드도 많고 앞으로 평생 안살듯,8,3,0
2024.06.29. 16:24,이뿐데 어떤 디자인은 뒷꿈치 까짐 ㅜ 운동화인데...,5,0,0
2024.06.29. 14:06,난 아식스가 좋아 나이키 구려,5,0,0
2024.06.29. 18:32,"남자라면 , 나이와 키지.",6,2,2
2024.06.29. 12:29,발은 뉴발이 젤 편하지 버질 형님 하늘나라가고 오프화이트 나이키 둘다망한거임 스캇이 나름 선방했지만 난 버질 형님의 더 텐은 나이키 역사의 최고 라고본다,6,2,0
2024.06.29. 15:20,질좋고값싼브랜드가 많아 선택지가 다양해진시대라 나이키는 전 세계를 아우르던 시절 다시 돌아가긴 힘들듯,4,0,0
2024.06.29. 14:17,...신발은스케쳐스임...,4,0,0
2024.06.29. 15:11,나이키는 거지같은 흑인 모델부터 바꿔라 모델때문에 필라보다 더 싸구려 이미지 되는것같다,6,3,0
2024.06.30. 08:33,마라톤은 호카.. 농구는 언더아머.. 축구는 아디다스.. 일상화는 뉴발란스.. 노인은 스케쳐스.. 육상은 아식스.. 호갱은 나이키..,3,0,1
2024.06.30. 07:11,가격에 비해서 신발이 약하고 잘 닳는다. 발볼이 넓은 사람한테는 많이 불편하다.,3,0,0
2024.06.30. 05:15,예전 나이키운동화 디자인 정말 이뻤는데 점점 디자인이랑 색상이 산으로감 어떤건 사이버틱하고 어떤건 색상이 너무튀고,3,0,0
2024.06.30. 01:39,발볼이 넓은 우리 가족에겐 프로스펙스가 편하고 좋음. 신발 가격도 합리적이고. 4만원이면 1컬레 구입함. 나이키는 신었을때 불편함.,3,0,0
2024.06.30. 01:22,일단 품질이. 저질이라...,3,0,0
2024.06.30. 00:54,운동화 는 프로 스펙스!,3,0,0
2024.06.29. 20:53,난 운동화는 온리 나이키~!!!,3,0,0
2024.06.29. 20:48,나이키매장 가보면 딴세상이다....대한민국은.나이키천하..,3,0,0
2024.06.29. 20:07,나이키만 신다가 뉴발란스 신어보고 안삼,3,0,0
2024.06.29. 17:51,스키쳐스 신어요. 르무통이랑,3,0,0
2024.06.29. 17:22,"스케쳐스, 호카로 바꿈. 발 개편함. 자신있게 추천!",3,0,0
2024.06.29. 10:56,아디다스 나이크 pc광고 할때부터 많이 줄었자누,3,0,0
2024.06.29. 10:03,나이키 기능성 내구성 허접함,3,0,0
2024.06.29. 19:09,(아래 글 오타 남)발볼 넓은 우리 아들 신발 사주러갔더니...나이키 자체가..전반적으로 발볼이 좁아서 ...신을만한 모델이 거의 없음..,4,2,0
2024.06.29. 12:15,가성비 스케쳐스~,4,2,0
2024.06.29. 13:06,운동화 예전처럼 가죽도 아니고 천으로 만들면서 가격은 창렬이지.,3,1,0
2024.06.30. 09:14,러닝의류는 나이키가 최고임 가격도싸고 재질은 넘사벽,2,0,0
2024.06.30. 08:00,그래도 나이키가 최고여. 잡 브랜드 신발 신어봤지만 역시 나이키가 최고여.,2,0,0
2024.06.30. 07:37,발볼좁은 나는 나이키가 편하고 뉴발란스는 너무 헐겁,2,0,0
2024.06.30. 07:04,아식스신어라 졸라편하다 디자인도괜찮고,2,0,0
2024.06.29. 23:33,신발 품질이 너무 떨어짐...가격대비 오래 못신음..,2,0,0
