제명,영문제명,기타제명,제작년도,작품구분,유형구분,용도구분,국가구분,길이구분,장르,제작국가,심의여부,심의정보대표여부,상영시간,주제곡,삽입곡,키워드,촬영장소,줄거리출처,줄거리,노트(NOTE),KMDb 영화정보관리번호
자전거 수업,The Last Date (Jajeongeo sueop),,2019,국내극,극영화,극장용,국내,단편    ,드라마,대한민국,,Y,5,,,,,제12회 서울국제초단편영화제,3년째 연애 중인 선영과 강현. 어느 날 선영은 강현에게 자전거 타는 법을 가르쳐준다.,,K32142
낭만닥터 이영만의 모정,(Nangmandakteo iyeongmanui mojeong),,2022,국내비극,다큐멘터리,극장용,국내,장편    ,인물,대한민국,영화심의,Y,101,,모정 - 남진덕분에 - 송대관바보사랑 - 쟈니리엄마의 노래 - 조관우족두리봉 - 강진봄비연가 - 박건노을빛 황혼아 - 홍순이돼지의 꿈 - 이용식바람같은 사랑 - 이영만당신을 사랑합니다 - 이영만모정 - 이영만족두리봉 - 이영만,,,영등위심의,다양한 분야에서 활동 중인 치의학박사 이영만의 자전적 삶을 그린 그린 다큐멘터리 영화,,A12107
제3 한강교,The Third Han-gang Bridge  (Je3 hanganggyo),,1979,국내극,극영화,극장용,국내,장편    ,멜로드라마,대한민국,영화심의,Y,90,혜은이,혜은이,,"한보상사,한보주택(주),은마아파트",,공사판에서 일하는 유진은 식당에서 일하는 미숙과 좋아한다. 그러다가 유진은 절도로 6개월의 교도소 생활을 하게 되고 미숙은 자취를 감춘다. 출감 후 유진은 미숙의 친구 은영의 도움으로 미숙을 찾으나 그녀는 술집 아가씨가 되었다. 하루를 같이 보내고 다음날 미숙은 유진의 곁을 떠난다. 유진은 은영과 만나지만 미숙을 잊지 못하고 그녀가 술집 아가씨가 된 것은 자신때문이라는 것을 알고 미숙을 찾아가 사랑을 맹세한다. 미숙의 빚을 갚기 위해 유진은 절도단의 유혹을 받지만 사랑에 부풀어 미숙에게 달려간다.,,K03383
토요근무,Working On Saturday (Toyogeunmu),,2011,국내극,극영화,극장용,국내,단편    ,드라마,대한민국,미심의,Y,17,,,"인터넷,설치,방문,소녀,토요일",,,인터넷 설치기사인 도연은 작업을 위해 방문한 어느 신청자의 집에서 혼자 집을 지키고 있던 어린 여자아이를 만나게 된다. 아이를 혼자 두고 떠날 수 없었던 도연. 그들이 함께 보낸 토요일 오후를 담은 작품.,,K12722
사라진 밤,Vanished Night (Sarajin Bam),,2011,국내극,극영화,극장용,국내,단편    ,드라마,대한민국,미심의,Y,25,,,"식당,비정규직,주방,형사,남편,잠",,,"식당에서 비정규직으로 일하는 주방아줌마 일순에게 형사가 찾아온다. 일순과 함께 잠들었던 남편이 집에서 죽은 채 발견됐다는 것. 형사는 일순에게 남편이 죽던 날 밤의 행적을 묻지만 일순은 도무지 그 날 밤이 기억나지 않는다. 영화는 ‘벌어, 먹고, 사는’ 일의 끔찍한 피로가 그림자처럼 따라붙는, 우리 모두의 일상에 대한 이야기를 담았다.",,K12723
약속,Promise ( Yaksok ),,2011,국내극,극영화,극장용,국내,단편    ,드라마,대한민국,,Y,25,,,"식물인간,코마,코마상태,간병",,,"정인은 코마 상태의 남편이 자신을 알아보지 못한다는 것을 이미 알고 있다. 하지만 자꾸 혹시나 하는 생각이 든다. 나는 이 사람을 떠나고 싶어하는 걸까, 아닌걸까. 마지막으로 병원에서 보내는 3일. 정인은 자신이 이미 결정을 내렸음을 깨닫는다.",연출의도   행복해지기 위한 선택. 그러나 그 선택이 마냥 기쁠 수만은 없다.,K12828
구천리 마을잔치,Paprika Feast ( gucheolli maeuljanchi ),,2011,국내극,극영화,극장용,국내,단편    ,"드라마,공포,판타지",대한민국,,Y,38,,,,,,영화는 한 여인의 이야기이다. 그 여인을 둘러싼 많은 사람들의 이야기로 상상해 볼 수 있는 여인의 모습은 그 사람들의 머릿수만큼 다양하다. 여인의 모습을 상상해 나가다 보면 알 수 있다. 그 상상의 끝에 만나는 사람은 그 여인이 아니라는 것을.,연출의도   우리는 너무 쉽게 각자 마주한 사람을 단정 지으며 살아갑니다.,K12837
천국도청,Bugging Heaven; Listen to Her ( Cheonguk docheong ),,2011,국내극,극영화,극장용,국내,중편    ,"드라마,SF,판타지",대한민국,,Y,38,,,"천국,도청,종말,예언,종교,가족,삶,거짓말","국립현대미술관,한국예술종합학교,이진희씨댁",,"표면적으로는 국립현대미술관의 매표 직원인 주은애. 그녀는 미술관 지하에 존재하는 비공식 국가예측기관 ‘천국도청’의 임시요원이기도 하다. 영화는 주은애가 가진 기독교적 트라우마를 현실과 망상 속에 뒤엉켜 놓고 예측불가의 상황으로 내달린다. 영화가 끝나면 문득 떠오른다. 영화 시작에 그녀가 되뇌인 말, “모두 거짓말이다.” (홍효숙) (16회 부산국제영화제)","- 2012년 CGV 무비꼴라주, 부산국제영화제 기획전 상영- 2012년 KT&G 상상마당, 제6회 대단한 단편영화제 상영- 2009년 ETRI 산학협력 제작지원작- 2008년 하반기 영화진흥위원회 사전제작지원작",K12966
어른고기,"The Adults""s Flesh ( eoreungogi )",,2011,국내극,극영화,극장용,국내,단편    ,드라마,대한민국,,Y,15,,,,,,어른들이 거의 사라지고 아이들만 남은 세상. 살기 위해 아이들은 남은 어른을 고기로 먹는다. 오랜만에 어른고기를 잡은 날. 경원은 어른고기가 썩었다며 먹지 못하게 한다. (부천국제판타스틱영화제),,K12884
손님,Guest ( sonnim ),,2011,국내극,극영화,극장용,국내,단편    ,"드라마,가족",대한민국,,Y,19,,,사춘기소녀,,,아빠를 훔쳐간 불륜녀의 집에 들이닥쳐 분노를 폭발시키는 소녀. 하지만 그 곳엔 동그마니 어린 두 남매만 집을 지키고 있다. 불륜녀를 기다리던 소녀는 남매를 보며 무슨 생각을 할까? 질풍노도의 사춘기 소녀가 겪는 성장통의 한 단면을 예리하게 포착해낸 수작.,,K12891
